JobID,Description,Time,TotalDMsSent,TotalEMsSent,TotalSMSsSent,TotalCALLsSent,TimeSinceLastEmail,TimeSinceLastDM,TimeSinceLastCall,TimeSinceLastSMS,Age_segment,Segment,Reward,Nr_of_Sales,Nr_of_Opens,Nr_of_Clicks,Nr_of_Unsubs
65489.0,EMsent,2024-09-08,1,11,0,0,0.0,146.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
60256.0,EMsent,2024-08-11,1,10,0,0,0.0,118.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
55388.0,EMsent,2024-07-16,1,9,0,0,0.0,92.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
49295.0,EMsent,2024-06-09,1,8,0,0,0.0,55.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
,DM_Offersent,2024-04-15,1,6,0,0,1.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
35578.0,EMsent,2024-03-17,0,5,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
34062.0,EMsent,2024-03-10,0,4,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
28232.0,EMsent,2024-02-11,0,3,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
24494.0,EMsent,2024-01-14,0,2,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
19748.0,EMsent,2023-12-10,0,1,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
40456.0,EMsent,2024-04-14,0,6,0,0,0.0,9999.0,9999.0,9999.0,61-80,Best Ager,0.0,0,0,0,0
65489.0,EMsent,2024-09-08,0,10,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
60256.0,EMsent,2024-08-11,0,9,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
55388.0,EMsent,2024-07-16,0,8,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
49295.0,EMsent,2024-06-09,0,7,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
44710.0,EMsent,2024-05-12,0,6,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
28232.0,EMsent,2024-02-11,0,3,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
34062.0,EMsent,2024-03-10,0,4,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
24494.0,EMsent,2024-01-14,0,2,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
19748.0,EMsent,2023-12-10,0,1,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
40456.0,EMsent,2024-04-14,0,5,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,0.0,0,0,0,0
49295.0,EMsent,2024-06-09,0,7,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,6,0,0
44710.0,EMsent,2024-05-12,0,6,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,5,0,0
60256.0,EMsent,2024-08-11,0,8,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,7,0,0
40456.0,EMsent,2024-04-14,0,5,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,4,0,0
24494.0,EMsent,2024-01-14,0,2,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,1,0,0
28232.0,EMsent,2024-02-11,0,3,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,2,0,0
34062.0,EMsent,2024-03-10,0,4,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,3,0,0
19748.0,EMsent,2023-12-10,0,1,0,0,0.0,9999.0,9999.0,9999.0,80+,Silver Ager,1.0,0,0,0,0
,DM_Offersent,2024-11-14,3,17,0,0,60.0,154.0,9999.0,9999.0,61-80,Best Ager,0.0,0,17,0,0
66948.0,EMsent,2024-09-15,2,17,0,0,0.0,94.0,9999.0,9999.0,61-80,Best Ager,1.0,0,16,0,0
65489.0,EMsent,2024-09-08,2,16,0,0,0.0,87.0,9999.0,9999.0,61-80,Best Ager,1.0,0,15,0,0
60256.0,EMsent,2024-08-11,2,15,0,0,0.0,59.0,9999.0,9999.0,61-80,Best Ager,1.0,0,14,0,0
,DM_Offersent,2024-06-13,2,13,0,0,4.0,91.0,9999.0,9999.0,61-80,Best Ager,0.0,0,13,0,0
49295.0,EMsent,2024-06-09,1,13,0,0,0.0,87.0,9999.0,9999.0,61-80,Best Ager,1.0,0,12,0,0
48020.0,EMsent,2024-05-31,1,12,0,0,0.0,78.0,9999.0,9999.0,61-80,Best Ager,1.0,0,11,0,0
